施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
イボレーザー（炭酸ガス／CO2レーザー）→mikoメソッド（首いぼ治療）,イボレーザー（炭酸ガス／CO2レーザー）,mikoメソッド（首いぼ治療）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
シミ取りレーザー→mikoメソッド（首いぼ治療）,シミ取りレーザー,mikoメソッド（首いぼ治療）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ADM治療（ピコレーザー）→mikoメソッド（首いぼ治療）,ADM治療（ピコレーザー）,mikoメソッド（首いぼ治療）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ADM治療（ナノレーザー・メドライトC6）→mikoメソッド（首いぼ治療）,ADM治療（ナノレーザー・メドライトC6）,mikoメソッド（首いぼ治療）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
レーザートーニング→mikoメソッド（首いぼ治療）,レーザートーニング,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ピコトーニング→mikoメソッド（首いぼ治療）,ピコトーニング,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ピコフラクショナル（1064nm）→mikoメソッド（首いぼ治療）,ピコフラクショナル（1064nm）,mikoメソッド（首いぼ治療）,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
そばかすシャワー（532レーザー）→mikoメソッド（首いぼ治療）,そばかすシャワー（532レーザー）,mikoメソッド（首いぼ治療）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
そばかすスポット照射→mikoメソッド（首いぼ治療）,そばかすスポット照射,mikoメソッド（首いぼ治療）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
フォトフェイシャル（光治療）→mikoメソッド（首いぼ治療）,フォトフェイシャル（光治療）,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
赤み治療（血管腫レーザー）→mikoメソッド（首いぼ治療）,赤み治療（血管腫レーザー）,mikoメソッド（首いぼ治療）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ボトックス注射（通常）→mikoメソッド（首いぼ治療）,ボトックス注射（通常）,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
マイクロボトックス→mikoメソッド（首いぼ治療）,マイクロボトックス,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
テノールNEO（テノールネオ）→mikoメソッド（首いぼ治療）,テノールNEO（テノールネオ）,mikoメソッド（首いぼ治療）,同部位,同日,可,,,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
フラルスキン（トレチノイン）→mikoメソッド（首いぼ治療）,フラルスキン（トレチノイン）,mikoメソッド（首いぼ治療）,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
部分シミ治療（トレチノイン）→mikoメソッド（首いぼ治療）,部分シミ治療（トレチノイン）,mikoメソッド（首いぼ治療）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
mikoメソッド（首いぼ治療）→mikoメソッド（首いぼ治療）,mikoメソッド（首いぼ治療）,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ほくろ切除・ほくろ除去→mikoメソッド（首いぼ治療）,ほくろ切除・ほくろ除去,mikoメソッド（首いぼ治療）,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ボライト（スキンブースター）→mikoメソッド（首いぼ治療）,ボライト（スキンブースター）,mikoメソッド（首いぼ治療）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
稗粒腫（はいりゅうしゅ）除去→mikoメソッド（首いぼ治療）,稗粒腫（はいりゅうしゅ）除去,mikoメソッド（首いぼ治療）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ヴェルヴェットスキン→mikoメソッド（首いぼ治療）,ヴェルヴェットスキン,mikoメソッド（首いぼ治療）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
